,Caste and Religion,Economic Issues,Social Issues,Infrastructure Development,Local Leadership and Candidates,Public Sentiment and Perception,Community Engagement,Campaign Messaging
Ward1,0.6276103764368497,0.9726221322144217,0.2639196999838136,0.28143053664116324,0.6747958565751502,0.15075384025838157,0.1756710080017969,0.8843554184445784
Ward2,0.1441367347288911,0.6458555022834234,0.45507185956194074,0.7498747175826105,0.4781910227126338,0.28602313967504067,0.8185967446036344,0.37079858026311197
Ward3,0.9553997919072628,0.2938748687893262,0.4528285593373559,0.3339904915080587,0.5891601793034289,0.539041237562518,0.6912653988650957,0.4723834380456997
Ward4,0.46131465226154644,0.595349400629189,0.8352664789090896,0.7552944007758188,0.364841073012946,0.8303139426752831,0.5852569395378274,0.5341765650510326
Ward5,0.08670065690607975,0.835786170262695,0.63941390705699,0.7985109439938534,0.9457793417335937,0.9287406154284699,0.9911387149685132,0.691768808193729
Ward6,0.056042423661611274,0.6776360229562354,0.6017905659083613,0.4311146348285152,0.728876688106738,0.5464032405012621,0.5625291022154557,0.759615262809638
Ward7,0.11277571873536307,0.9670438749833146,0.8085668598205313,0.8151242848883438,0.5386718637567696,0.19096038164781448,0.9003251746060129,0.705031441814901
Ward8,0.6371973185287588,0.8098451227450426,0.3051778210161744,0.9364395561476601,0.31415238210507745,0.3966967208819897,0.20942447883683313,0.8782280340173249
Ward9,0.8675905197724773,0.5645228176399286,0.10820889577231585,0.34705524143876854,0.2552111629795645,0.26118429920396236,0.8590661208299271,0.5980527143385089
Ward10,0.5690264219792707,0.05374269083066929,0.8060483586169459,0.14505952088922225,0.7383234926073693,0.8928444151993452,0.2959332692890063,0.9794445535128474
Ward11,0.949174064975495,0.6195291780593803,0.13411009645663508,0.1379788915270802,0.8036812217806454,0.9120811522774548,0.09630750366094554,0.5244054160359952
Ward12,0.15264672719727546,0.652515526290798,0.2707121333504816,0.31692639857784866,0.6978176932341246,0.2095107309850469,0.47745457200219577,0.4449399789582492
Ward13,0.4046690747278062,0.8887339833497199,0.9423912258222082,0.5162295560488963,0.22064108953300154,0.41161649029987424,0.6913565922120076,0.4036361517176157
Ward14,0.1791268194558403,0.1654262149422665,0.27071382693275037,0.22566044627176896,0.8358075654362961,0.8313352277498327,0.6714390886569614,0.07762538887797876
Ward15,0.20943436431038054,0.28957548749503437,0.3072861365992178,0.036374523200369824,0.5296903590286846,0.5759826988960464,0.24616089171540856,0.47538712466468147
Ward16,0.8675841378024934,0.7215089869474773,0.1951616145750369,0.8984876997541508,0.43663523001193016,0.22862465892429096,0.2896927187224797,0.3236718555971074
Ward17,0.03202134436263315,0.45284935792178593,0.9535190197020078,0.7777160261369891,0.051444818278294724,0.43281736579257324,0.8954649725585385,0.928598924703184
Ward18,0.7980996893586084,0.07166991983666515,0.6448274328772577,0.09339086280698339,0.18456730838990543,0.6023467844518303,0.8388498902921192,0.6511718628442048
Ward19,0.9315749921857606,0.6255518650508202,0.7929538586114915,0.8845559702288954,0.6815912954103677,0.5687892638120977,0.24697434218704983,0.23202854706109655
Ward20,0.9014586158612108,0.9214919964906451,0.537436776232358,0.8363737531648949,0.586793247536361,0.0807288487903064,0.7067299336942932,0.8971394205489488
